               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.039998,            0.008008,           0.0076356,             0.82113,             0.15975,             0.18929,             0.11305,            0.032766,            0.010307,            0.011168,            0.006535,            0.006535,            0.006535
                  37,            0.039838,           0.0079996,           0.0075193,              0.8228,             0.16022,             0.19027,             0.11398,            0.032708,            0.010292,            0.011082,            0.006436,            0.006436,            0.006436
                  38,            0.039836,           0.0079737,           0.0074543,              0.8241,             0.16061,             0.19173,             0.11518,            0.032647,            0.010275,            0.010989,            0.006337,            0.006337,            0.006337
                  39,            0.039592,           0.0079388,           0.0074328,             0.82522,             0.16128,             0.19141,             0.11478,            0.032575,            0.010259,              0.0109,            0.006238,            0.006238,            0.006238
                  40,            0.039518,           0.0079773,           0.0074221,             0.82823,              0.1614,             0.19335,             0.11611,            0.032506,            0.010241,            0.010812,            0.006139,            0.006139,            0.006139
                  41,            0.039462,           0.0079194,           0.0073481,             0.82882,             0.16225,              0.1958,             0.11786,            0.032442,            0.010223,            0.010728,             0.00604,             0.00604,             0.00604
                  42,            0.039241,           0.0078942,           0.0072297,             0.82841,             0.16443,             0.19788,             0.11886,            0.032375,            0.010204,            0.010639,            0.005941,            0.005941,            0.005941
                  43,            0.039061,           0.0078876,           0.0072035,             0.82089,             0.16543,             0.19989,             0.12033,             0.03231,            0.010186,            0.010575,            0.005842,            0.005842,            0.005842
                  44,            0.039021,           0.0078615,           0.0071397,             0.82018,             0.16665,              0.2017,             0.12174,            0.032238,            0.010167,            0.010492,            0.005743,            0.005743,            0.005743
                  45,            0.038916,           0.0078933,           0.0071348,             0.81272,             0.16546,             0.20338,              0.1228,            0.032166,            0.010148,            0.010411,            0.005644,            0.005644,            0.005644
                  46,            0.038836,           0.0078613,           0.0071147,             0.81742,             0.16633,             0.20737,             0.12486,            0.032094,            0.010129,            0.010324,            0.005545,            0.005545,            0.005545
                  47,            0.038622,           0.0078129,           0.0069829,             0.75332,              0.1917,             0.20859,              0.1261,            0.032023,            0.010109,            0.010247,            0.005446,            0.005446,            0.005446
                  48,            0.038517,           0.0077865,            0.006923,             0.75561,             0.19434,             0.21333,             0.12889,            0.031952,            0.010088,            0.010176,            0.005347,            0.005347,            0.005347
                  49,            0.038491,           0.0077972,           0.0069091,             0.74935,             0.19648,             0.21618,             0.13014,            0.031889,            0.010068,            0.010102,            0.005248,            0.005248,            0.005248
                  50,            0.038369,           0.0078099,           0.0068829,              0.7435,             0.19839,             0.22019,             0.13329,            0.031825,            0.010048,            0.010028,            0.005149,            0.005149,            0.005149
                  51,            0.038372,           0.0077674,            0.006863,             0.74515,             0.19948,             0.22366,             0.13575,             0.03175,            0.010029,           0.0099567,             0.00505,             0.00505,             0.00505
                  52,            0.038097,           0.0077464,           0.0068067,             0.74562,             0.20184,             0.22566,             0.13702,            0.031687,             0.01001,           0.0098894,            0.004951,            0.004951,            0.004951
                  53,            0.037965,           0.0077172,           0.0066864,             0.74903,             0.20411,             0.22783,             0.13845,            0.031622,           0.0099913,           0.0098182,            0.004852,            0.004852,            0.004852
                  54,            0.037878,           0.0077333,           0.0066328,             0.74932,             0.20801,             0.23045,              0.1402,            0.031538,           0.0099741,           0.0097525,            0.004753,            0.004753,            0.004753
                  55,            0.037669,            0.007686,           0.0066168,             0.75119,             0.20978,             0.23425,             0.14232,            0.031468,           0.0099554,           0.0096768,            0.004654,            0.004654,            0.004654
                  56,            0.037607,           0.0076819,           0.0065853,             0.75759,             0.21108,             0.23601,             0.14346,            0.031399,            0.009937,           0.0096056,            0.004555,            0.004555,            0.004555
                  57,            0.037485,           0.0076374,           0.0064565,             0.76097,             0.21238,             0.23874,             0.14507,            0.031333,           0.0099189,           0.0095376,            0.004456,            0.004456,            0.004456
                  58,            0.037426,           0.0076649,           0.0064714,             0.76539,             0.21268,              0.2399,             0.14668,            0.031268,           0.0098997,           0.0094761,            0.004357,            0.004357,            0.004357
                  59,            0.037294,           0.0076142,           0.0064086,             0.75843,             0.21336,             0.24354,             0.14895,            0.031207,           0.0098816,           0.0094126,            0.004258,            0.004258,            0.004258
                  60,            0.037133,            0.007579,           0.0063775,             0.75134,             0.21485,             0.24354,             0.14804,            0.031146,            0.009863,           0.0093518,            0.004159,            0.004159,            0.004159
                  61,            0.037051,           0.0075795,           0.0063934,             0.76163,             0.21578,             0.24597,             0.15022,            0.031077,           0.0098457,           0.0092945,             0.00406,             0.00406,             0.00406
                  62,            0.036859,           0.0075458,           0.0062352,             0.76473,             0.21583,             0.24907,             0.15275,            0.031009,           0.0098288,           0.0092389,            0.003961,            0.003961,            0.003961
                  63,            0.036747,           0.0075656,            0.006252,             0.76607,             0.21605,             0.25304,             0.15482,            0.030957,           0.0098122,            0.009179,            0.003862,            0.003862,            0.003862
                  64,             0.03657,           0.0075043,           0.0061055,             0.77509,              0.2198,             0.25423,             0.15542,            0.030897,           0.0097947,           0.0091224,            0.003763,            0.003763,            0.003763
                  65,            0.036488,            0.007507,            0.006086,             0.77722,             0.21981,             0.25563,             0.15597,            0.030828,           0.0097771,           0.0090646,            0.003664,            0.003664,            0.003664
                  66,            0.036338,           0.0074783,           0.0060902,             0.78809,             0.21993,             0.25786,             0.15747,            0.030753,           0.0097581,           0.0090112,            0.003565,            0.003565,            0.003565
                  67,            0.036026,           0.0074275,           0.0059255,             0.78022,             0.22133,             0.25952,             0.15874,            0.030696,           0.0097384,           0.0089575,            0.003466,            0.003466,            0.003466
                  68,            0.036007,           0.0074312,           0.0059338,             0.77803,             0.22262,             0.25942,             0.15898,            0.030624,           0.0097179,           0.0089108,            0.003367,            0.003367,            0.003367
                  69,            0.035869,           0.0074114,            0.005894,             0.77958,             0.22366,             0.26078,             0.16015,            0.030557,           0.0096996,           0.0088571,            0.003268,            0.003268,            0.003268
                  70,            0.035772,           0.0073718,           0.0057966,             0.77592,             0.22582,             0.26188,             0.16132,            0.030497,           0.0096812,           0.0088052,            0.003169,            0.003169,            0.003169
                  71,            0.035564,           0.0073518,            0.005793,             0.77663,             0.22629,             0.26174,             0.16102,            0.030436,           0.0096627,           0.0087541,             0.00307,             0.00307,             0.00307
                  72,             0.03542,           0.0073323,           0.0056896,             0.77665,             0.22576,             0.26339,             0.16296,            0.030377,           0.0096437,           0.0087052,            0.002971,            0.002971,            0.002971
                  73,            0.035279,           0.0073255,           0.0056325,             0.78148,             0.22365,             0.26482,             0.16432,            0.030313,           0.0096248,           0.0086557,            0.002872,            0.002872,            0.002872
                  74,            0.035108,           0.0073018,            0.005606,             0.80175,             0.21983,             0.26793,             0.16563,            0.030252,           0.0096061,            0.008611,            0.002773,            0.002773,            0.002773
                  75,            0.034913,           0.0072572,           0.0055398,             0.80372,             0.21862,             0.27016,             0.16724,            0.030197,           0.0095874,           0.0085705,            0.002674,            0.002674,            0.002674
                  76,            0.034895,           0.0072448,           0.0055302,             0.79548,             0.22454,             0.27209,              0.1686,            0.030138,           0.0095683,           0.0085285,            0.002575,            0.002575,            0.002575
                  77,            0.034662,           0.0072362,           0.0054627,             0.79768,             0.22478,             0.27396,             0.17043,            0.030078,           0.0095505,           0.0084899,            0.002476,            0.002476,            0.002476
                  78,            0.034587,           0.0072046,            0.005416,             0.79636,             0.22703,             0.27567,             0.17137,            0.030032,           0.0095332,           0.0084501,            0.002377,            0.002377,            0.002377
                  79,             0.03438,           0.0071575,           0.0053501,             0.79066,              0.2304,              0.2785,             0.17426,            0.029979,           0.0095159,           0.0084071,            0.002278,            0.002278,            0.002278
                  80,            0.034194,           0.0071356,           0.0052901,             0.79709,             0.23654,             0.28032,             0.17531,            0.029919,           0.0094974,           0.0083659,            0.002179,            0.002179,            0.002179
                  81,            0.033905,            0.007116,           0.0051934,             0.79369,              0.2424,             0.28176,             0.17652,            0.029852,           0.0094781,           0.0083251,             0.00208,             0.00208,             0.00208
                  82,            0.033811,           0.0070778,           0.0051795,             0.79367,             0.24323,             0.28605,             0.18021,            0.029791,           0.0094592,           0.0082818,            0.001981,            0.001981,            0.001981
                  83,            0.033574,           0.0070469,            0.005097,              0.8007,             0.23895,             0.28731,             0.18115,            0.029726,           0.0094404,           0.0082347,            0.001882,            0.001882,            0.001882
                  84,            0.033383,           0.0070154,           0.0050358,             0.80878,             0.23992,             0.28939,             0.18208,            0.029671,           0.0094226,           0.0081906,            0.001783,            0.001783,            0.001783
                  85,            0.033215,            0.006989,           0.0049918,             0.81049,             0.24197,              0.2889,             0.18122,            0.029616,           0.0094029,           0.0081474,            0.001684,            0.001684,            0.001684
                  86,            0.032974,           0.0069841,           0.0049491,             0.78924,             0.24661,             0.29081,             0.18242,            0.029562,           0.0093834,           0.0081068,            0.001585,            0.001585,            0.001585
                  87,             0.03275,           0.0069272,           0.0048885,             0.79022,             0.24699,             0.29223,             0.18331,            0.029509,           0.0093642,           0.0080638,            0.001486,            0.001486,            0.001486
                  88,            0.032499,           0.0068895,           0.0047414,             0.77496,              0.2552,             0.29326,             0.18463,            0.029449,           0.0093447,           0.0080208,            0.001387,            0.001387,            0.001387
                  89,            0.032308,           0.0068616,           0.0047217,             0.77716,             0.25581,             0.29434,             0.18563,            0.029385,           0.0093255,           0.0079783,            0.001288,            0.001288,            0.001288
                  90,            0.032127,           0.0068311,           0.0046673,             0.77807,              0.2558,             0.29597,              0.1866,            0.029334,           0.0093068,           0.0079384,            0.001189,            0.001189,            0.001189
                  91,            0.031919,            0.006794,           0.0045798,             0.77888,             0.25601,             0.29723,             0.18704,            0.029278,           0.0092883,           0.0078952,             0.00109,             0.00109,             0.00109
                  92,            0.031585,           0.0067636,           0.0045333,             0.77795,             0.25725,             0.29886,             0.18841,            0.029219,           0.0092694,           0.0078488,            0.000991,            0.000991,            0.000991
                  93,            0.031442,           0.0067136,           0.0044472,             0.78597,             0.25733,             0.29995,             0.18903,             0.02916,           0.0092509,           0.0078032,            0.000892,            0.000892,            0.000892
                  94,            0.031181,            0.006688,           0.0043615,             0.78749,             0.25734,             0.30156,             0.19027,            0.029105,            0.009233,           0.0077577,            0.000793,            0.000793,            0.000793
                  95,            0.030866,           0.0066579,           0.0043438,             0.78653,             0.25934,             0.30149,             0.19054,            0.029045,           0.0092151,            0.007719,            0.000694,            0.000694,            0.000694
                  96,            0.030681,           0.0066133,           0.0042726,             0.78669,             0.25989,              0.3028,             0.19205,            0.028989,           0.0091971,           0.0076781,            0.000595,            0.000595,            0.000595
                  97,             0.03042,           0.0065953,           0.0041743,             0.77701,             0.26226,             0.30495,             0.19352,            0.028936,           0.0091801,           0.0076361,            0.000496,            0.000496,            0.000496
                  98,            0.030196,           0.0065278,           0.0041155,              0.7761,             0.26223,             0.30586,             0.19468,            0.028885,           0.0091631,           0.0075953,            0.000397,            0.000397,            0.000397
                  99,            0.029999,            0.006517,           0.0040914,             0.78554,             0.26097,             0.30592,             0.19414,            0.028838,           0.0091473,           0.0075548,            0.000298,            0.000298,            0.000298
